"concept_name","current_status","recommended_status","origin","first_occurrence","documents","audits","ogs","principles","constitutions","operational_usage","scientific_debt","promotion_reason","evidence","review_decision"
"DM-01 — Identificação do Núcleo do Negócio","Experimental (E — CANDIDATA)","A — Permanecer Experimental","Sistema de Análise de Água; registro GP-R01","GP-R02/Research; registro local 27/06/2026","5","0","0 OGs formais; GP-R01/CASE-01 como contexto","Orientação da arquitetura pelo núcleo do negócio","Nenhuma","Uso pontual no CASE-01","YES","O próprio registro exige projetos distintos e somente um projeto está documentado.","METHODOLOGICAL_DISCOVERIES.md mantém CANDIDATA e explicita validação em projetos distintos; DISCOVERY_LIFECYCLE.md; DOCUMENT_MAP.md; HISTORY.md; ROADMAP.md.","A"
"DA-01 — Especialização por Contexto Operacional","Experimental (E — CANDIDATA)","A — Permanecer Experimental","Sistema de Análise de Água","CASE-01; registro local 27/06/2026","5","0","0 OGs formais; GP-R01/CASE-01 como contexto","Reuso de arquitetura por contexto","Nenhuma","Uso pontual no CASE-01","YES","Não existe segunda aplicação nem auditoria independente documentada.","ARCHITECTURAL_DISCOVERIES.md mantém CANDIDATA, marca somente Sistema de Análise de Água e deixa outros projetos pendentes.","A"
"DA-02 — Auditoria de Integração Arquitetural","Experimental (E — CANDIDATA)","A — Permanecer Experimental","Sistema de Análise de Água; GP-A14","GP-A14 AI-01; 27/06/2026","7","8","0 OGs formais; família GP-A14","Coerência de dependências e integração entre camadas","Nenhuma","Oito auditorias em componentes de um projeto","YES","Oito componentes do mesmo projeto não satisfazem o requisito explícito de projetos distintos.","PROTEUS HISTORY.md registra AI-01…AI-08; ARCHITECTURAL_DISCOVERIES.md mantém CANDIDATA e requer projetos distintos.","A"
"PA-02 — Progressão de Valor","Validado (V — escopo PROTEUS/CASE-01)","V vigente; elegível para futura avaliação Constitucional","GP-R02 — Value Progression Audit","Commit 95ded850; 28/06/2026","27","22","0 OGs formais; famílias semânticas observadas: GP-R, GP-D, GP-AC/PE e OP","Enriquecimento de camadas existentes antes de novas camadas","Nenhuma; validação não constitucional","Uso recorrente e decisório em domínio, arquitetura e operação do PROTEUS/CASE-01","NO para E→V no escopo ratificado; lacunas multidomínio permanecem para C","Gate GP-FW-03B confirmou consistência, evidência recorrente, estabilidade e ausência de conflitos; validação limitada ao PROTEUS/CASE-01.","GP-R02; DISCOVERY_CATALOG.md seção PA-02; 27 documentos semânticos, 22 auditorias; GP-D02A–D10A, OP-00–OP-03, CASE01 e AC-01; hashes no relatório GP-FW-03B.","V — VALIDADO por GP-FW-03B; vigência 2026-07-20"
"PA-03 — Materialização sob Necessidade","Experimental (E — Discovery Candidata)","B — Promover para Validado","GP-D01A/GP-D01B/GP-D01C","GP-D01A; commit e9f4dbeb; 30/06/2026","32","22","0 OGs formais; 6 famílias: GP-D, GP-R, GP-AC/PE, OP, PAC, OEG-PA","Materialização diante de necessidade operacional objetiva","Nenhuma; não promovida","Uso recorrente para impedir materialização prematura","YES até ratificação","Uso consistente em decisões heterogêneas justifica validação limitada ao PROTEUS/CASE-01; falta validação externa para C.","DISCOVERY_CATALOG.md linhas 85–112; GP-D07A/08A, AC-01, PE-06, OP, PAC e OEG aplicam PA-03; identificador em 32 arquivos.","B"
"H1 — Auditoria antes da Materialização","Experimental (P — hipótese em monitoramento)","A — Permanecer Experimental","Observações GP-D07A, GP-D08B e GP-D09A","AI-01; 02/07/2026","4","3","0 OGs formais; família GP-D","Auditoria documental precede entidade, persistência, workflow ou camada","Nenhuma","Padrão recorrente em auditorias de domínio","YES","A fonte canônica mantém hipótese não promovida e exige validação humana/independente.","AI_METHODOLOGICAL_OBSERVATIONS_CONSOLIDATION.md linhas 62–80, 181–200 e 258–314.","A"
"H2 — Memória Permanente versus Operação Diária","Experimental (P — hipótese em monitoramento)","A — Permanecer Experimental","GP-D06A…GP-D09A","AI-01; 02/07/2026","6","5","0 OGs formais; família GP-D","Separação de memória permanente e estado operacional","Nenhuma","Padrão recorrente no domínio Projeto","YES","Recorrência em uma única família não substitui a validação humana e independente declarada como pendente.","AI_METHODOLOGICAL_OBSERVATIONS_CONSOLIDATION.md linhas 82–101 e 209–225.","A"
"H3 — Sucesso do Projeto como Declaração Documental","Experimental (P — hipótese em monitoramento)","A — Permanecer Experimental","GP-D08A/GP-D08B","GP-D08A; 02/07/2026","2","1","0 OGs formais; família GP-D","Evitar motor automático de sucesso nesta fase","Nenhuma","Limita cálculo automático em uma auditoria","YES","Uma aplicação não distingue prudência local de regra metodológica generalizável.","AI_METHODOLOGICAL_OBSERVATIONS_CONSOLIDATION.md linhas 123–140 e 227–240; GP_D08A_PROJECT_OBJECTIVES_RESULTS_AUDIT.md.","A"
"H4 — Saturação por Recorrência Negativa","Experimental (P — hipótese em monitoramento)","A — Permanecer Experimental","GP-D09A","GP-D09A/AI-01; 02/07/2026","3","1","0 OGs formais; família GP-D","Encerramento de ciclos por ausência recorrente de necessidade estrutural","Nenhuma","Fundamenta saturação do domínio Projeto","YES","Falta replicação com critérios prévios e casos negativos independentes.","AI_METHODOLOGICAL_OBSERVATIONS_CONSOLIDATION.md linhas 242–256 e 268–314; GP-D09A; HISTORY.md.","A"
"GDC-R — Cadeia Premissa–Evidência–Inferência–Fundamentação–Decisão–Validação","Experimental (E — baseline de pesquisa)","B — Promover para Validado","GP-PI-07A; linha GP-RG","GP-PI-07A em 17/07/2026; commit 2c9c852 em 18/07/2026","40 (cadeia completa em 12)","4 artefatos nominais; controles OEG-GIT adicionais","0 OGs formais; 3 famílias: GP-PI, GP-RG, OEG-GIT","Rastreabilidade e fundamentação observável","Constituição de Pesquisa RG-01; Constituição ICFACTORY inalterada","Uso estrutural na Fase I documental/sintética","YES até ratificação","Estabilidade, recorrência e dependência metodológica sustentam validação limitada à Fase I; falta validação externa e múltiplas OGs formais para C.","PI_07A report; RG-01…RG-09; PHASE_I_CONSOLIDATED_REPORT.md; GDC-R em 40 arquivos; RG-01/H-RG-001 e Fase I limitam a generalização.","B"
"Critério de Avaliação pré-declarado","Experimental (P — hipótese observacional)","A — Permanecer Experimental","RG-01 — Constituição de Pesquisa GDC-R","17/07/2026","20","1","0 OGs formais; família GP-RG","Critérios definidos antes da execução","Nenhuma","Usado em pré-registro e protocolos da Fase I","YES","O documento de origem condiciona inclusão a evidência e distinção ainda não validadas.","RG_01_RESEARCH_CONSTITUTION.md linhas 130–138; protocolos RG-05…RG-09.","A"
"Separação Epistêmica — Evidência não é Inferência","Experimental (E)","A — Permanecer Experimental","RG-01; PM-02/PM-03","17/07/2026","7","Linha experimental GP-RG","0 OGs formais; famílias GP-PI, GP-RG, GP-R06","Observabilidade e distinção fato, hipótese, premissa e interpretação","Nenhuma alteração constitucional","Usada em matrizes e auditorias experimentais GDC-R","YES","H-RG-002 foi sustentada em um caso e explicitamente não validada.","RG-01 linhas 168–180; PHASE_I_CONSOLIDATED_REPORT.md limita o resultado a um caso sintético/documental.","A"
"Revisão Explícita","Experimental (E; PM-07)","A — Permanecer Experimental","GP-PI-07A / PM-07","17/07/2026","2","Linha experimental GP-RG","0 OGs formais; famílias GP-PI e GP-RG","Revisão auditável de decisões","Compatível com Evolução Auditável; não incorporada","Componente de H-RG-003 e da revisão GDC-R","YES","Suporte localizado na Fase I não comprova estabilidade independente.","RG-01 define PM-07; H-RG-003 foi sustentada em um caso e explicitamente não validada.","A"
