"document_name","current_location","previous_location","status","authority_level","duplicate","renamed","merged","split","recommended_source","evidence","observations"
"CONSTITUTION.md","C:\HANDA_CORE\ICFACTORY\CONSTITUTION.md","Mesmo caminho no commit 1c719e61c71cdef403a16830e13835e78a08ed43 (tag icfactory-v1.0); ausente no parent versionado","FOUND_TRACKED_CLEAN","PRIMARY_CONSTITUTIONAL","YES: snapshot idêntico no pacote de adoção; colisão nominal distinta em C:\HANDA_CORE\CONSTITUTION.md (H&A)","NO","NO","NO","C:\HANDA_CORE @ principal/95f23628319a969e1d89c3a89466d8533fb09140 : ICFACTORY/CONSTITUTION.md","Git registra adição A em 17/06/2026; blob atual 9010010869c730ef019da87f3aa24953a9cc12b4 = HEAD; arquivo declara Versão 0.2 e Status ATIVA.","A Constituição H&A da raiz governa a instância H&A e não é versão anterior nem substituta da Constituição ICFACTORY."
"CONSTITUTIONAL_LEXICON.md","C:\HANDA_CORE\ICFACTORY\CONSTITUTIONAL_LEXICON.md","Mesmo caminho no commit 1c719e61c71cdef403a16830e13835e78a08ed43 (tag icfactory-v1.0); ausente no parent versionado","FOUND_TRACKED_CLEAN","PRIMARY_SEMANTIC_NORMATIVE","NO: não aparece no snapshot de adoção","NO","NO","NO","C:\HANDA_CORE @ principal/95f23628319a969e1d89c3a89466d8533fb09140 : ICFACTORY/CONSTITUTIONAL_LEXICON.md","Git registra adição A em 17/06/2026; blob atual 7c64ef662a953a52d1fec053bcbff28772df17b2 = HEAD; linhas 4, 8 e 16 o declaram repositório oficial e referência autoritativa.","Não confundir com ICFACTORY/LEXICON.md nem com o LEXICON.md H&A da raiz; são artefatos semanticamente distintos."
"PROJECT_CONSTITUTION_TEMPLATE.md","C:\HANDA_CORE\ICFACTORY\governance\PROJECT_CONSTITUTION_TEMPLATE.md","Mesmo caminho no commit 1c719e61c71cdef403a16830e13835e78a08ed43; evoluído nos commits 8d3ae205 e 109cba8b de 18/06/2026","FOUND_TRACKED_CLEAN","PRIMARY_CONSTITUTION_TEMPLATE","YES: snapshot de adoção idêntico ao atual","NO","NO","NO","C:\HANDA_CORE @ principal/95f23628319a969e1d89c3a89466d8533fb09140 : ICFACTORY/governance/PROJECT_CONSTITUTION_TEMPLATE.md","Git preserva três versões no mesmo caminho; blob atual 2f5f4953879c757b0c9bd1ebc299f292095a4afc = HEAD; linhas 3, 5 e 7 declaram versão 0.5, aprovada e baseline oficial.","A Constituição do PROTEUS é uma instância preenchida, não o template e não uma renomeação."
"GOVERNANCE_ARCHITECTURE.md","C:\HANDA_CORE\ICFACTORY\governance\GOVERNANCE_ARCHITECTURE.md","Mesmo caminho no commit 1c719e61c71cdef403a16830e13835e78a08ed43 (tag icfactory-v1.0)","FOUND_TRACKED_CLEAN","PRIMARY_GOVERNANCE","YES: snapshot de adoção idêntico ao atual","NO","NO","NO","C:\HANDA_CORE @ principal/95f23628319a969e1d89c3a89466d8533fb09140 : ICFACTORY/governance/GOVERNANCE_ARCHITECTURE.md","Git registra adição A em 17/06/2026; blob atual e HEAD ecb71524b4ace19b93849da18c07f6f0efce69c9; linha 112 subordina a governança à Constituição ICFACTORY.","Não foi encontrada versão concorrente com o mesmo papel fora dos snapshots de adoção."
"HISTORY.md","C:\HANDA_CORE\ICFACTORY\HISTORY.md","Mesmo caminho desde 1c719e61c71cdef403a16830e13835e78a08ed43; atualizado em 8d3ae205, 109cba8b e 95f23628319a969e1d89c3a89466d8533fb09140","FOUND_TRACKED_MODIFIED","OFFICIAL_HISTORY_AT_HEAD","NO semântico: C:\Users\Guiuliano\SistemaAnaliseAgua\docs\history\HISTORY.md é histórico da instância","NO","NO","NO","Git principal/95f23628319a969e1d89c3a89466d8533fb09140 : ICFACTORY/HISTORY.md; preservar diff local separadamente","HEAD/origin-principal coincidem; working tree possui +33 linhas GP-R01 e blob 8e3de6a8 difere do HEAD cd175fa5. Linha 114 identifica registro histórico oficial.","O arquivo atual é mais recente, mas a parte local não está ratificada no Git; não usar a working tree como baseline oficial sem decisão própria."
"ROADMAP.md","C:\HANDA_CORE\ICFACTORY\ROADMAP.md","Mesmo caminho desde 1c719e61c71cdef403a16830e13835e78a08ed43; atualizado em 8d3ae205, 109cba8b e 95f23628319a969e1d89c3a89466d8533fb09140","FOUND_TRACKED_MODIFIED","OFFICIAL_ROADMAP_AT_HEAD","NO semântico: C:\Users\Guiuliano\SistemaAnaliseAgua\docs\roadmap\ROADMAP.md é roadmap da instância","NO","NO","NO","Git principal/95f23628319a969e1d89c3a89466d8533fb09140 : ICFACTORY/ROADMAP.md; preservar diff local separadamente","HEAD/origin-principal coincidem; working tree possui +31/-1 linhas GP-R01 e blob f220326e difere do HEAD 25290a25. Linhas 185-187 o declaram Roadmap Oficial.","Não transportar o diff local como autoridade antes de reconciliação com HISTORY e artefatos GP-R01."
"DOCUMENT_MAP.md","C:\HANDA_CORE\ICFACTORY\DOCUMENT_MAP.md","Snapshot anterior não autoritativo: C:\HANDA_CORE\ICFACTORY_ADOPTION_TEST\ICFACTORY\DOCUMENT_MAP.md e cinco ZIPs de adoção","FOUND_UNTRACKED","PROVISIONAL_NAVIGATION","YES: snapshot de 5.197 bytes; atual tem 6.269 bytes e conteúdo adicional de Research","NO","NO","NO","C:\HANDA_CORE\ICFACTORY\DOCUMENT_MAP.md somente após ratificação; até lá, usar como evidência navegacional, não baseline","Arquivo não existe no tag nem no HEAD; status ??; linha 11 referencia README/GETTING_STARTED e linhas 50-80 classificam documentos normativos e de governança. Diverge do snapshot de adoção.","É a cópia mais completa e recente, mas sua autoridade é provisória por ausência de versionamento."
"GETTING_STARTED.md","C:\HANDA_CORE\ICFACTORY\GETTING_STARTED.md","Snapshot idêntico: C:\HANDA_CORE\ICFACTORY_ADOPTION_TEST\ICFACTORY\GETTING_STARTED.md e cinco ZIPs de adoção","FOUND_UNTRACKED","PROVISIONAL_ONBOARDING","YES: cópias byte a byte idênticas no snapshot/pacotes","NO","NO","NO","C:\HANDA_CORE\ICFACTORY\GETTING_STARTED.md somente após ratificação","Arquivo não existe no tag nem no HEAD; status ??. Linhas 38-44 separam framework e domínio; linhas 50-60 definem leitura da Constituição e arquitetura.","Conteúdo coerente e duplicado, porém repetição não substitui autoridade Git."
"README.md","C:\HANDA_CORE\README.md","Snapshot idêntico: C:\HANDA_CORE\ICFACTORY_ADOPTION_TEST\README.md e cinco ZIPs; novo repositório possui apenas README placeholder divergente","FOUND_UNTRACKED","PROVISIONAL_ENTRYPOINT","YES: snapshot idêntico; conflito com README placeholder do destino e README PROTEUS","NO","NO","NO","C:\HANDA_CORE\README.md somente após ratificação e substituição autorizada do placeholder em GP futura","SHA-256 d3a38161... idêntico ao snapshot; status ??. Linhas 25-38 distinguem ICFACTORY/H&A e apontam ICFACTORY/ como framework; DOCUMENT_MAP linha 11 o define como primeira leitura.","O README do destino não é autoridade por ser apenas descrição mínima criada em 20/07; nenhuma substituição está autorizada nesta GP."
"ACI.md","C:\HANDA_CORE\ICFACTORY\concepts\ACI.md","Mesmo caminho no commit 1c719e61c71cdef403a16830e13835e78a08ed43","FOUND_TRACKED_CLEAN","FOUNDATIONAL_CONCEPT","NO no snapshot de adoção","NO","NO","NO","C:\HANDA_CORE @ principal/95f23628319a969e1d89c3a89466d8533fb09140 : ICFACTORY/concepts/ACI.md","Git registra adição A em 17/06/2026; blob atual cbd0f7c5... = HEAD; arquivo declara versão 1.0 e status fundacional.","AGENTS.md exige ACI(R) para auditoria passiva; ACI.md é conceito universal, distinto de aplicações H&A."
