"source_path","file_name","classification","proposed_destination","requires_split","dependencies","risk","priority","evidence_summary"
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\adoption\ADOPTION_CHECKLIST.md","ADOPTION_CHECKLIST.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","ALTO: arquivo fora do HEAD; preservar hash, contexto e cadeia de autoridade antes de qualquer copia.","P3","Titulo/conteudo: 'ADOPTION_CHECKLIST.md'; referencias verificadas: ICFACTORY=0, PROTEUS/CASE-01=0. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\adoption\ADOPTION_PLAN.md","ADOPTION_PLAN.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'Adoption Plan'; referencias verificadas: ICFACTORY=0, PROTEUS/CASE-01=1. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\adoption\CONTACT_PACKAGE.md","CONTACT_PACKAGE.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","ALTO: arquivo fora do HEAD; preservar hash, contexto e cadeia de autoridade antes de qualquer copia.","P3","Titulo/conteudo: 'Contact Package'; referencias verificadas: ICFACTORY=0, PROTEUS/CASE-01=2. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\adoption\FEEDBACK_FORM.md","FEEDBACK_FORM.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'Feedback Form'; referencias verificadas: ICFACTORY=0, PROTEUS/CASE-01=2. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\adoption\FIRST_CONTACT_CANDIDATE.md","FIRST_CONTACT_CANDIDATE.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","ALTO: arquivo fora do HEAD; preservar hash, contexto e cadeia de autoridade antes de qualquer copia.","P3","Titulo/conteudo: 'First Contact Candidate'; referencias verificadas: ICFACTORY=0, PROTEUS/CASE-01=3. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\adoption\FIRST_CONTACT_MESSAGE.md","FIRST_CONTACT_MESSAGE.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","ALTO: arquivo fora do HEAD; preservar hash, contexto e cadeia de autoridade antes de qualquer copia.","P3","Titulo/conteudo: 'First Contact Message'; referencias verificadas: ICFACTORY=0, PROTEUS/CASE-01=4. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\adoption\FIRST_CONTACT_STRATEGY.md","FIRST_CONTACT_STRATEGY.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","ALTO: arquivo fora do HEAD; preservar hash, contexto e cadeia de autoridade antes de qualquer copia.","P3","Titulo/conteudo: 'First Contact Strategy'; referencias verificadas: ICFACTORY=0, PROTEUS/CASE-01=2. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\adoption\PRESENTATION.md","PRESENTATION.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'Sistema De Análise De Água'; referencias verificadas: ICFACTORY=0, PROTEUS/CASE-01=4. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\adoption\QUICK_START.md","QUICK_START.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'Quick Start'; referencias verificadas: ICFACTORY=0, PROTEUS/CASE-01=2. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\adoption\USER_GUIDE.md","USER_GUIDE.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'User Guide'; referencias verificadas: ICFACTORY=0, PROTEUS/CASE-01=2. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\adoption\USER_TARGET_MAP.md","USER_TARGET_MAP.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","Nenhuma dependencia documental explicita localizada no arquivo.","ALTO: arquivo fora do HEAD; preservar hash, contexto e cadeia de autoridade antes de qualquer copia.","P3","Titulo/conteudo: 'User Target Map'; referencias verificadas: ICFACTORY=0, PROTEUS/CASE-01=2. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
"C:\Users\Guiuliano\SistemaAnaliseAgua\docs\architecture\AC_01_ARCHITECTURAL_CONSOLIDATION_AUDIT.md","AC_01_ARCHITECTURAL_CONSOLIDATION_AUDIT.md","INSTÂNCIA","SEM MIGRACAO: permanecer no repositorio PROTEUS","NO","docs/research/DISCOVERY_CATALOG.md; docs/governance/PROJECT_CONSTITUTION.md; docs/domain/GP_D09A_PROJECT_DOMAIN_SATURATION_AUDIT.md; docs/domain/GP_D10A_PROJECT_INSTANCE_AUDIT.md; docs/operational/OP_00_OPERATIONAL_SCOPE_BOUNDARY_AUDIT.md; docs/operational/OP_01_OPERATIONAL_INFORMATION_FLOW_AUDIT.md; e mais 5 referencias no proprio arquivo.","BAIXO PARA O FRAMEWORK: perda de contexto ocorreria apenas se o artefato da instancia fosse migrado isoladamente.","P3","Titulo/conteudo: 'AC-01 - Auditoria De Consolidacao Arquitetural'; referencias verificadas: ICFACTORY=3, PROTEUS/CASE-01=15. O titulo, o dominio, as dependencias ou a finalidade descrevem arquitetura, operacao, comunicacao, avaliacao ou estado do PROTEUS."
