"concept_name","origin","first_occurrence","documents","ogs","principles","constitutions","audits","current_maturity","usage_level","validated","constitutional","scientific_debt","recommended_action","evidence"
"Research / Discovery Lifecycle","GP-R01 — camada Research do ICFACTORY","Working tree HANDA_CORE, 27/06/2026","C:\HANDA_CORE\ICFACTORY\research\DISCOVERY_LIFECYCLE.md; DOCUMENT_MAP.md; HISTORY.md; ROADMAP.md","GP-R01","Evolução por evidências; promoção controlada","Nenhuma alteração constitucional; documento declara não alterar Constituição/Léxico/Template","GP-R01","V","Utilizado estruturalmente pelo framework","YES — validado documentalmente pela GP-R01","NO","NO","Ratificar e publicar a camada Research antes do congelamento","DISCOVERY_LIFECYCLE linhas 236–279 declara GP-R01 VALIDADA e as regras; todos esses registros estão fora do HEAD ou em diffs locais."
"DM-01 — Identificação do Núcleo do Negócio","Sistema de Análise de Água; registrado pela GP-R01","GP-R02/Research; registro local 27/06/2026","METHODOLOGICAL_DISCOVERIES.md; DISCOVERY_LIFECYCLE.md; DOCUMENT_MAP.md; HISTORY.md; ROADMAP.md","GP-R01; aplicação no CASE-01","Orientação da arquitetura pelo núcleo do negócio","Nenhuma","Evidência declarada na evolução arquitetural do CASE-01","E","Uso pontual","NO — apenas um projeto de origem","NO","YES","Executar validação multidomínio antes de promover ou usar como regra geral","METHODOLOGICAL_DISCOVERIES linhas 67–77 e 127–151 registra impacto no CASE-01, exige projetos distintos e mantém estado CANDIDATA."
"DA-01 — Especialização por Contexto Operacional","Sistema de Análise de Água; registrado pela GP-R01","CASE-01 / registro local 27/06/2026","ARCHITECTURAL_DISCOVERIES.md; DISCOVERY_LIFECYCLE.md; DOCUMENT_MAP.md; HISTORY.md; ROADMAP.md","GP-R01; aplicação no CASE-01","Reuso de arquitetura por contexto","Nenhuma","Evidência arquitetural apenas no projeto de origem","E","Uso pontual","NO — somente Sistema de Análise de Água marcado","NO","YES","Testar em segundo domínio e documentar critérios de falsificação","ARCHITECTURAL_DISCOVERIES linhas 39–118 marca CANDIDATA, assinala apenas Sistema de Análise de Água e deixa outros projetos pendentes."
"DA-02 — Auditoria de Integração Arquitetural","Sistema de Análise de Água; GP-A14","GP-A14 AI-01, 27/06/2026","ARCHITECTURAL_DISCOVERIES.md; PROTEUS HISTORY.md; ROADMAP.md; INTEGRATION_AUDIT_REPORT.md","GP-A14 AI-01…AI-08","Coerência das dependências e integração entre camadas","Nenhuma","Oito auditorias de integração da GP-A14","E","Utilizado em OG","NO — um projeto, apesar de oito componentes","NO","YES","Validar a técnica em outro projeto antes de promoção arquitetural","PROTEUS HISTORY linhas 5314–5936 registra oito auditorias executadas; ARCHITECTURAL_DISCOVERIES linhas 126–226 mantém DA-02 CANDIDATA e requer projetos distintos."
"PA-02 — Progressão de Valor","GP-R02 — Value Progression Audit","Commit 95ded850, 28/06/2026","DISCOVERY_CATALOG.md; GP_R02_VALUE_PROGRESSION_AUDIT.md; 32 documentos de arquitetura, domínio, operação, PAC, OEG, HISTORY e ROADMAP","GP-R02; GP-D02A…GP-D10A; AC-01; PAC-14; OEG-PA02/03","Enriquecimento de camadas existentes em vez de novas camadas","Nenhuma; não promovida","AC-01; CASE01; auditorias GP-D; OP-00…OP-03; PAC","E","Utilizado em múltiplas OGs","NO — Discovery Candidata","NO","YES","Suspender uso como fundamento decisório geral ou abrir validação formal multidomínio","DISCOVERY_CATALOG linhas 63–81 mantém CANDIDATA; busca documental encontra PA-02 em 32 arquivos; GP-D07A/08A e AC-01 usam PA-02 para justificar decisões."
"PA-03 — Materialização sob Necessidade","GP-D01A/GP-D01B/GP-D01C","GP-D01A, commit e9f4dbeb, 30/06/2026","DISCOVERY_CATALOG.md; 32 documentos de arquitetura, domínio, operação, PAC, OEG, HISTORY e ROADMAP","GP-D01A…GP-D10A; AC-01; PAC-14; OEG-PA03…08","Materialização apenas diante de necessidade operacional objetiva","Nenhuma; não promovida","GP-D; AC-01; PE-06; OP-00…OP-03; PAC e OEG","E","Utilizado em múltiplas OGs","NO — Discovery Candidata","NO","YES","Formalizar validação e limites; até lá rotular decisões como experimentais","DISCOVERY_CATALOG linhas 85–112 mantém CANDIDATA; busca encontra PA-03 em 32 arquivos; GP-D07A/08A e AC-01 a usam diretamente para não materializar."
"H1 — Auditoria antes da Materialização","Observações GP-D07A, GP-D08B e GP-D09A","AI-01, 02/07/2026","AI_METHODOLOGICAL_OBSERVATIONS_CONSOLIDATION.md; fontes GP-D07A/08B/09A","GP-D07A; GP-D08B; GP-D09A","Auditoria documental precede entidade, persistência, workflow ou camada","Nenhuma","Auditorias de domínio que preservaram conceitos documentais","P","Utilizado em múltiplas OGs","NO — hipótese em monitoramento","NO","YES","Executar auditoria humana independente e protocolo comparativo","AI-01 linhas 62–80, 181–200 e 258–314 declara hipótese em monitoramento, recorrente, não promovida e dependente de validação humana."
"H2 — Memória Permanente versus Operação Diária","GP-D06A…GP-D09A","AI-01, 02/07/2026","AI_METHODOLOGICAL_OBSERVATIONS_CONSOLIDATION.md; GP-D06A/07A/08A/09A; HISTORY GP-D08B","GP-D06A; GP-D07A; GP-D08A/B; GP-D09A","Separação de memória permanente e estado operacional","Nenhuma","Auditorias do domínio Projeto e Dossiê Final","P","Utilizado em múltiplas OGs","NO — hipótese em monitoramento","NO","YES","Validar em domínio externo e definir critérios observáveis","AI-01 linhas 82–101 e 209–225 chama este o padrão mais recorrente, mas exige auditoria independente e validação humana."
"H3 — Sucesso do Projeto como Declaração Documental","GP-D08A/GP-D08B","GP-D08A, 02/07/2026","GP_D08A_PROJECT_OBJECTIVES_RESULTS_AUDIT.md; AI_METHODOLOGICAL_OBSERVATIONS_CONSOLIDATION.md","GP-D08A; GP-D08B","Evitar motor automático de sucesso nesta fase","Nenhuma","Auditoria de objetivos/resultados","P","Utilizado em OG","NO — hipótese em monitoramento","NO","YES","Testar critérios e separar prudência local de regra metodológica","AI-01 linhas 123–140 e 227–240 mantém a hipótese; GP-D08A usa a leitura para limitar cálculo automático."
"H4 — Saturação por Recorrência Negativa","GP-D09A","GP-D09A / AI-01, 02/07/2026","GP_D09A_PROJECT_DOMAIN_SATURATION_AUDIT.md; AI_METHODOLOGICAL_OBSERVATIONS_CONSOLIDATION.md; HISTORY.md","GP-D09A","Encerramento de ciclos por ausência recorrente de necessidade estrutural","Nenhuma","Auditoria de saturação do domínio","P","Utilizado em OG","NO — hipótese em monitoramento","NO","YES","Replicar com critérios prévios e casos negativos independentes","AI-01 linhas 242–256 e 268–314 mantém hipótese não promovida; GP-D09A e HISTORY registram recorrência negativa na decisão de saturação."
